ED, intextSwitchpoint,GPU_time,CPU_time,Threads,GPU_matches,CPU_matches
2, 2, 0:10.98, 0:09.24, 10, 12870241, 12870241
2, 3, 0:10.96, 0:09.19, 10, 12870241, 12870241
2, 3, 0:10.96, 0:09.18, 10, 12870241, 12870241
2, 3, 0:10.91, 0:09.23, 10, 12870241, 12870241
2, 3, 0:10.94, 0:09.24, 10, 12870241, 12870241
2, 3, 0:10.92, 0:09.27, 10, 12870241, 12870241
2, 4, 0:10.88, 0:09.25, 10, 12870241, 12870241
2, 4, 0:10.93, 0:09.23, 10, 12870241, 12870241
2, 4, 0:10.84, 0:09.20, 10, 12870241, 12870241
2, 4, 0:10.88, 0:09.58, 10, 12870241, 12870241
2, 4, 0:10.86, 0:09.21, 10, 12870241, 12870241
2, 5, 0:10.83, 0:09.22, 10, 12870241, 12870241
2, 5, 0:10.87, 0:09.22, 10, 12870241, 12870241
2, 5, 0:10.93, 0:09.20, 10, 12870241, 12870241
2, 5, 0:10.92, 0:09.22, 10, 12870241, 12870241
2, 5, 0:10.88, 0:09.36, 10, 12870241, 12870241
2, 6, 0:10.88, 0:09.28, 10, 12870241, 12870241
2, 6, 0:10.88, 0:09.23, 10, 12870241, 12870241
2, 6, 0:10.91, 0:09.25, 10, 12870241, 12870241
2, 6, 0:10.89, 0:09.22, 10, 12870241, 12870241
2, 6, 0:10.87, 0:09.24, 10, 12870241, 12870241
2, 7, 0:10.90, 0:09.26, 10, 12870241, 12870241
2, 7, 0:10.90, 0:09.29, 10, 12870241, 12870241
2, 7, 0:10.90, 0:09.28, 10, 12870241, 12870241
2, 7, 0:10.98, 0:09.31, 10, 12870241, 12870241
2, 7, 0:10.85, 0:09.28, 10, 12870241, 12870241
2, 8, 0:10.86, 0:09.26, 10, 12870241, 12870241
2, 8, 0:10.87, 0:09.27, 10, 12870241, 12870241
2, 8, 0:10.90, 0:09.26, 10, 12870241, 12870241
2, 8, 0:10.89, 0:11.13, 10, 12870241, 12870241
2, 8, 0:21.53, 0:13.31, 10, 12870241, 12870241
2, 9, 0:10.92, 0:09.31, 10, 12870241, 12870241
2, 9, 0:10.90, 0:09.30, 10, 12870241, 12870241
2, 9, 0:10.94, 0:09.30, 10, 12870241, 12870241
2, 9, 0:10.83, 0:09.30, 10, 12870241, 12870241
2, 9, 0:10.91, 0:09.30, 10, 12870241, 12870241
2, 10, 0:10.88, 0:09.30, 10, 12870241, 12870241
2, 10, 0:10.86, 0:09.30, 10, 12870241, 12870241
2, 10, 0:10.88, 0:09.31, 10, 12870241, 12870241
2, 10, 0:10.90, 0:09.29, 10, 12870241, 12870241
2, 10, 0:10.84, 0:09.29, 10, 12870241, 12870241
3, 1, 0:18.53, 0:16.86, 10, 23632628, 23632628
3, 1, 0:18.48, 0:16.83, 10, 23632628, 23632628
3, 1, 0:18.46, 0:16.87, 10, 23632628, 23632628
3, 1, 0:18.38, 0:16.91, 10, 23632628, 23632628
3, 1, 0:18.40, 0:16.83, 10, 23632628, 23632628
3, 2, 0:18.11, 0:16.85, 10, 23632628, 23632628
3, 2, 0:18.15, 0:16.84, 10, 23632628, 23632628
3, 2, 0:18.25, 0:16.94, 10, 23632628, 23632628
3, 2, 0:18.09, 0:17.04, 10, 23632628, 23632628
3, 2, 0:18.01, 0:16.82, 10, 23632628, 23632628
3, 3, 0:17.99, 0:17.01, 10, 23632628, 23632628
3, 3, 0:18.03, 0:17.00, 10, 23632628, 23632628
3, 3, 0:18.06, 0:16.99, 10, 23632628, 23632628
3, 3, 0:18.12, 0:17.28, 10, 23632628, 23632628
3, 3, 0:18.08, 0:16.98, 10, 23632628, 23632628
3, 4, 0:17.92, 0:17.19, 10, 23632628, 23632628
3, 4, 0:18.09, 0:17.18, 10, 23632628, 23632628
3, 4, 0:18.08, 0:17.19, 10, 23632628, 23632628
3, 4, 0:18.16, 0:17.17, 10, 23632628, 23632628
3, 4, 0:18.07, 0:17.18, 10, 23632628, 23632628
3, 5, 0:18.07, 0:17.53, 10, 23632628, 23632628
3, 5, 0:18.18, 0:18.43, 10, 23632628, 23632628
3, 5, 0:18.19, 0:17.39, 10, 23632628, 23632628
3, 5, 0:18.10, 0:17.36, 10, 23632628, 23632628
3, 5, 0:18.24, 0:17.38, 10, 23632628, 23632628
3, 6, 0:18.17, 0:17.60, 10, 23632628, 23632628
3, 6, 0:18.19, 0:18.56, 10, 23632628, 23632628
3, 6, 0:18.20, 0:17.60, 10, 23632628, 23632628
3, 6, 0:18.13, 0:17.58, 10, 23632628, 23632628
3, 6, 0:18.22, 0:17.57, 10, 23632628, 23632628
3, 7, 0:18.29, 0:17.74, 10, 23632628, 23632628
3, 7, 0:18.14, 0:18.95, 10, 23632628, 23632628
3, 7, 0:18.28, 0:17.74, 10, 23632628, 23632628
3, 7, 0:18.18, 0:17.81, 10, 23632628, 23632628
3, 7, 0:18.39, 0:17.86, 10, 23632628, 23632628
3, 8, 0:18.33, 0:17.94, 10, 23632628, 23632628
3, 8, 0:18.32, 0:17.94, 10, 23632628, 23632628
3, 8, 0:18.40, 0:17.94, 10, 23632628, 23632628
3, 8, 0:18.29, 0:17.95, 10, 23632628, 23632628
3, 8, 0:18.42, 0:17.97, 10, 23632628, 23632628
3, 9, 0:18.48, 0:18.79, 10, 23632628, 23632628
3, 9, 0:18.51, 0:18.86, 10, 23632628, 23632628
3, 9, 0:18.38, 0:18.87, 10, 23632628, 23632628
3, 9, 0:18.47, 0:18.75, 10, 23632628, 23632628
3, 9, 0:18.42, 0:18.72, 10, 23632628, 23632628
3, 10, 0:18.50, 0:19.07, 10, 23632628, 23632628
3, 10, 0:18.46, 0:18.99, 10, 23632628, 23632628
3, 10, 0:18.39, 0:19.08, 10, 23632628, 23632628
3, 10, 0:18.72, 0:19.18, 10, 23632628, 23632628
3, 10, 0:18.56, 0:19.07, 10, 23632628, 23632628
4, 1, 0:35.68, 0:36.33, 10, 41147035, 41147035
4, 1, 0:35.55, 0:36.36, 10, 41147035, 41147035
4, 1, 0:35.42, 0:36.10, 10, 41147035, 41147035
4, 1, 0:35.67, 0:36.20, 10, 41147035, 41147035
4, 1, 0:35.69, 0:36.25, 10, 41147035, 41147035
4, 2, 0:34.90, 0:36.52, 10, 41147035, 41147035
4, 2, 0:35.03, 0:36.39, 10, 41147035, 41147035
4, 2, 0:35.17, 0:36.54, 10, 41147035, 41147035
4, 2, 0:34.94, 0:39.07, 10, 41147035, 41147035
4, 2, 0:35.10, 0:36.91, 10, 41147035, 41147035
4, 3, 0:34.92, 0:37.11, 10, 41147035, 41147035
4, 3, 0:34.80, 0:37.17, 10, 41147035, 41147035
4, 3, 0:34.99, 0:37.20, 10, 41147035, 41147035
4, 3, 0:35.01, 0:37.10, 10, 41147035, 41147035
4, 3, 0:35.01, 0:37.09, 10, 41147035, 41147035
4, 4, 0:35.24, 0:38.00, 10, 41147035, 41147035
4, 4, 0:35.11, 0:38.36, 10, 41147035, 41147035
4, 4, 0:35.28, 0:37.84, 10, 41147035, 41147035
4, 4, 0:35.28, 0:37.72, 10, 41147035, 41147035
4, 4, 0:35.17, 0:37.82, 10, 41147035, 41147035
4, 5, 0:35.54, 0:38.46, 10, 41147035, 41147035
4, 5, 0:35.33, 0:38.57, 10, 41147035, 41147035
4, 5, 0:35.54, 0:38.61, 10, 41147035, 41147035
4, 5, 0:35.42, 0:38.65, 10, 41147035, 41147035
4, 5, 0:35.41, 0:38.66, 10, 41147035, 41147035
4, 6, 0:35.75, 0:39.16, 10, 41147035, 41147035
4, 6, 0:35.76, 0:39.77, 10, 41147035, 41147035
4, 6, 0:35.54, 0:39.36, 10, 41147035, 41147035
4, 6, 0:35.90, 0:39.28, 10, 41147035, 41147035
4, 6, 0:35.98, 0:39.21, 10, 41147035, 41147035
4, 7, 0:36.18, 0:39.68, 10, 41147035, 41147035
4, 7, 0:36.08, 0:39.70, 10, 41147035, 41147035
4, 7, 0:35.97, 0:39.75, 10, 41147035, 41147035
4, 7, 0:36.15, 0:39.78, 10, 41147035, 41147035
4, 7, 0:36.41, 0:39.68, 10, 41147035, 41147035
4, 8, 0:36.39, 0:40.44, 10, 41147035, 41147035
4, 8, 0:36.48, 0:40.34, 10, 41147035, 41147035
4, 8, 0:36.31, 0:40.42, 10, 41147035, 41147035
4, 8, 0:36.42, 0:40.42, 10, 41147035, 41147035
4, 8, 0:36.46, 0:40.49, 10, 41147035, 41147035
4, 9, 0:37.11, 0:40.95, 10, 41147035, 41147035
4, 9, 0:36.72, 0:41.21, 10, 41147035, 41147035
4, 9, 0:37.00, 0:41.05, 10, 41147035, 41147035
4, 9, 0:37.09, 0:41.06, 10, 41147035, 41147035
4, 9, 0:36.80, 0:41.23, 10, 41147035, 41147035
4, 10, 0:37.23, 0:41.59, 10, 41147035, 41147035
4, 10, 0:37.08, 0:41.63, 10, 41147035, 41147035
4, 10, 0:37.38, 0:42.02, 10, 41147035, 41147035
4, 10, 0:37.45, 0:41.66, 10, 41147035, 41147035
4, 10, 0:37.48, 0:41.58, 10, 41147035, 41147035
5, 1, 1:23.98, 1:28.36, 10, 68767565, 68767566
5, 1, 1:23.54, 1:28.32, 10, 68767565, 68767566
5, 1, 1:22.85, 1:28.52, 10, 68767565, 68767566
5, 1, 1:22.10, 1:28.51, 10, 68767565, 68767566
5, 1, 1:23.31, 1:28.39, 10, 68767565, 68767566
5, 2, 1:25.26, 1:32.53, 10, 68767516, 68767517
5, 2, 1:24.42, 1:32.70, 10, 68767516, 68767517
5, 2, 1:24.97, 1:32.66, 10, 68767516, 68767517
5, 2, 1:25.73, 1:33.18, 10, 68767516, 68767517
5, 2, 1:25.04, 1:32.81, 10, 68767516, 68767517
5, 3, 1:27.71, 1:36.38, 10, 68767484, 68767485
5, 3, 1:27.88, 1:36.67, 10, 68767484, 68767485
5, 3, 1:26.76, 1:36.34, 10, 68767484, 68767485
5, 3, 1:25.76, 1:36.68, 10, 68767484, 68767485
5, 3, 1:26.99, 1:36.37, 10, 68767484, 68767485
5, 4, 1:29.34, 1:39.74, 10, 68767479, 68767479
5, 4, 1:29.62, 1:39.78, 10, 68767479, 68767479
5, 4, 1:29.08, 1:39.73, 10, 68767479, 68767479
5, 4, 1:29.32, 1:39.73, 10, 68767479, 68767479
5, 4, 1:29.88, 1:39.59, 10, 68767479, 68767479
